Luật | Luật Bảo Vệ Môi Trường 2020 , số 72/2020/QH14 | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-so-72-2020-QH14-Bao-ve-moi-truong-2020-431147.aspx
Thông tư | Thông tư 14/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định phân quyền, phân cấp, phân định thẩm quyền và sửa đổi, bổ sung một số điều của các Thông tư trong lĩnh vực tài nguyên nước | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-14-2025-TT-BNNMT-phan-quyen-phan-cap-trong-linh-vuc-tai-nguyen-nuoc-662384.aspx
Thông tư | Thông tư 09/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định phân quyền, phân cấp và phân định thẩm quyền trong lĩnh vực quản lý Nhà nước về chăn nuôi và thú y | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-09-2025-TT-BNNMT-phan-quyen-phan-cap-linh-vuc-quan-ly-Nha-nuoc-ve-chan-nuoi-thu-y-662233.aspx
Thông tư | Thông tư 18/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định phân quyền, phân cấp và phân định thẩm quyền trong lĩnh vực quản lý Nhà nước về chăn nuôi và thú y | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-18-2025-TT-BNNMT-phan-quyen-quan-ly-Nha-nuoc-trong-linh-vuc-de-dieu-662385.aspx
Thông tư | Thông tư 10/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định về phân quyền, phân cấp, phân định thẩm quyền quản lý Nhà nước trong lĩnh vực thủy sản và kiểm ngư | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-10-2025-TT-BNNMT-phan-quyen-phan-cap-quan-ly-nha-nuoc-linh-vuc-thuy-san-kiem-ngu-662235.aspx
Thông tư | Thông tư 12/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định phân cấp, phân định thẩm quyền quản lý Nhà nước trong lĩnh vực trồng trọt và bảo vệ thực vật | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-12-2025-TT-BNNMT-phan-cap-phan-dinh-tham-quyen-quan-ly-linh-vuc-trong-trot-va-bao-ve-thuc-vat-662240.aspx
Thông tư | Thông tư 13/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định phân định thẩm quyền quản lý Nhà nước trong lĩnh vực kinh tế hợp tác và phát triển nông thôn và lĩnh vực giảm nghèo | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-13-2025-TT-BNNMT-phan-dinh-tham-quyen-quan-ly-linh-vuc-phat-trien-nong-thon-662237.aspx
Thông tư | Thông tư 21/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường thông tư quy định phân cấp, phân định thẩm quyền quản lý Nhà nước trong lĩnh vực khí tượng thủy văn | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-21-2025-TT-BNNMT-phan-cap-tham-quyen-quan-ly-nha-nuoc-linh-vuc-khi-tuong-thuy-van-662242.aspx
Thông tư | Thông tư 20/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định chi tiết về phân quyền, phân cấp, phân định thẩm quyền quản lý Nhà nước trong lĩnh vực thủy lợi | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-20-2025-TT-BNNMT-phan-dinh-tham-quyen-quan-ly-Nha-nuoc-trong-linh-vuc-thuy-loi-662386.aspx
Thông tư | Thông tư 11/2025/TT-BNNMT , của Bộ Nông nghiệp và Môi trường quy định về phân quyền, phân cấp quản lý Nhà nước trong lĩnh vực bảo tồn thiên nhiên và đa dạng sinh học | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Thong-tu-11-2025-TT-BNNMT-phan-quyen-quan-ly-nha-nuoc-trong-linh-vuc-bao-ton-thien-nhien-662510.aspx
Thông tư | Thông tư 35/2024/TT-BTNMT , của Bộ Tài nguyên và Môi trường ban hành Quy trình kỹ thuật thu gom, vận chuyển, xử lý chất thải rắn sinh hoạt | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Thong-tu-35-2024-TT-BTNMT-Quy-trinh-ky-thuat-thu-gom-van-chuyen-xu-ly-chat-thai-ran-sinh-hoat-636739.aspx
